Freq.	V(vi)/I(V1)
5.24807460249770e+001	(5.99998345695541e+001dB,1.79999925055384e+002°)
5.37031796370250e+001	(5.99998345654524e+001dB,1.79999923401066e+002°)
5.49540873857622e+001	(5.99998345615056e+001dB,1.79999921706802e+002°)
5.62341325190346e+001	(5.99998345577103e+001dB,1.79999919971655e+002°)
5.75439937337154e+001	(5.99998345540612e+001dB,1.79999918194668e+002°)
5.88843655355586e+001	(5.99998345505533e+001dB,1.79999916374866e+002°)
6.02559586074355e+001	(5.99998345471836e+001dB,1.79999914511252e+002°)
6.16595001861479e+001	(5.99998345439457e+001dB,1.79999912602807e+002°)
6.30957344480190e+001	(5.99998345408359e+001dB,1.79999910648490e+002°)
6.45654229034652e+001	(5.99998345378523e+001dB,1.79999908647237e+002°)
6.60693448007593e+001	(5.99998345349866e+001dB,1.79999906597962e+002°)
6.76082975391978e+001	(5.99998345322353e+001dB,1.79999904499552e+002°)
6.91830970918933e+001	(5.99998345295971e+001dB,1.79999902350873e+002°)
7.07945784384134e+001	(5.99998345270663e+001dB,1.79999900150763e+002°)
7.24435960074986e+001	(5.99998345246373e+001dB,1.79999897898034e+002°)
7.41310241300914e+001	(5.99998345223115e+001dB,1.79999895591473e+002°)
7.58577575029180e+001	(5.99998345200785e+001dB,1.79999893229839e+002°)
7.76247116628688e+001	(5.99998345179391e+001dB,1.79999890811860e+002°)
7.94328234724277e+001	(5.99998345158905e+001dB,1.79999888336240e+002°)
8.12830516164095e+001	(5.99998345139267e+001dB,1.79999885801650e+002°)
8.31763771102667e+001	(5.99998345120459e+001dB,1.79999883206732e+002°)
8.51138038202372e+001	(5.99998345102434e+001dB,1.79999880550096e+002°)
8.70963589956076e+001	(5.99998345085172e+001dB,1.79999877830320e+002°)
8.91250938133741e+001	(5.99998345068647e+001dB,1.79999875045950e+002°)
9.12010839355905e+001	(5.99998345052836e+001dB,1.79999872195499e+002°)
9.33254300796986e+001	(5.99998345037713e+001dB,1.79999869277445e+002°)
9.54992586021431e+001	(5.99998345023232e+001dB,1.79999866290229e+002°)
9.77237220955805e+001	(5.99998345009355e+001dB,1.79999863232260e+002°)
9.99999999999995e+001	(5.99998344996109e+001dB,1.79999860101906e+002°)
1.02329299228075e+002	(5.99998344983427e+001dB,1.79999856897500e+002°)
1.04712854805089e+002	(5.99998344971308e+001dB,1.79999853617334e+002°)
1.07151930523760e+002	(5.99998344959721e+001dB,1.79999850259662e+002°)
1.09647819614318e+002	(5.99998344948626e+001dB,1.79999846822697e+002°)
1.12201845430196e+002	(5.99998344938025e+001dB,1.79999843304611e+002°)
1.14815362149688e+002	(5.99998344927906e+001dB,1.79999839703530e+002°)
1.17489755493952e+002	(5.99998344918240e+001dB,1.79999836017542e+002°)
1.20226443461741e+002	(5.99998344908990e+001dB,1.79999832244685e+002°)
1.23026877081237e+002	(5.99998344900171e+001dB,1.79999828382955e+002°)
1.25892541179416e+002	(5.99998344891744e+001dB,1.79999824430300e+002°)
1.28824955169313e+002	(5.99998344883696e+001dB,1.79999820384618e+002°)
1.31825673855640e+002	(5.99998344876032e+001dB,1.79999816243761e+002°)
1.34896288259165e+002	(5.99998344868707e+001dB,1.79999812005530e+002°)
1.38038426460288e+002	(5.99998344861706e+001dB,1.79999807667674e+002°)
1.41253754462275e+002	(5.99998344855058e+001dB,1.79999803227889e+002°)
1.44543977074592e+002	(5.99998344848693e+001dB,1.79999798683818e+002°)
1.47910838816820e+002	(5.99998344842661e+001dB,1.79999794033050e+002°)
1.51356124843620e+002	(5.99998344836873e+001dB,1.79999789273114e+002°)
1.54881661891247e+002	(5.99998344831390e+001dB,1.79999784401486e+002°)
1.58489319246110e+002	(5.99998344826175e+001dB,1.79999779415579e+002°)
1.62181009735892e+002	(5.99998344821206e+001dB,1.79999774312747e+002°)
1.65958690743755e+002	(5.99998344816478e+001dB,1.79999769090284e+002°)
1.69824365246173e+002	(5.99998344811972e+001dB,1.79999763745417e+002°)
1.73780082874936e+002	(5.99998344807703e+001dB,1.79999758275312e+002°)
1.77827941003891e+002	(5.99998344803666e+001dB,1.79999752677065e+002°)
1.81970085860997e+002	(5.99998344799825e+001dB,1.79999746947708e+002°)
1.86208713666286e+002	(5.99998344796188e+001dB,1.79999741084200e+002°)
1.90546071796323e+002	(5.99998344792746e+001dB,1.79999735083433e+002°)
1.94984459975803e+002	(5.99998344789489e+001dB,1.79999728942221e+002°)
1.99526231496887e+002	(5.99998344786413e+001dB,1.79999722657309e+002°)
2.04173794466952e+002	(5.99998344783505e+001dB,1.79999716225363e+002°)
2.08929613085403e+002	(5.99998344780783e+001dB,1.79999709642970e+002°)
2.13796208950222e+002	(5.99998344778208e+001dB,1.79999702906641e+002°)
2.18776162394954e+002	(5.99998344775782e+001dB,1.79999696012803e+002°)
2.23872113856832e+002	(5.99998344773519e+001dB,1.79999688957799e+002°)
2.29086765276776e+002	(5.99998344771417e+001dB,1.79999681737888e+002°)
2.34422881531991e+002	(5.99998344769440e+001dB,1.79999674349241e+002°)
2.39883291901947e+002	(5.99998344767614e+001dB,1.79999666787940e+002°)
2.45470891568501e+002	(5.99998344765930e+001dB,1.79999659049975e+002°)
2.51188643150956e+002	(5.99998344764351e+001dB,1.79999651131242e+002°)
2.57039578276885e+002	(5.99998344762926e+001dB,1.79999643027543e+002°)
2.63026799189536e+002	(5.99998344761626e+001dB,1.79999634734581e+002°)
2.69153480392690e+002	(5.99998344760436e+001dB,1.79999626247956e+002°)
2.75422870333815e+002	(5.99998344759379e+001dB,1.79999617563171e+002°)
2.81838293126443e+002	(5.99998344758443e+001dB,1.79999608675618e+002°)
2.88403150312659e+002	(5.99998344757628e+001dB,1.79999599580587e+002°)
2.95120922666637e+002	(5.99998344756904e+001dB,1.79999590273252e+002°)
3.01995172040200e+002	(5.99998344756318e+001dB,1.79999580748681e+002°)
3.09029543251357e+002	(5.99998344755841e+001dB,1.79999571001822e+002°)
3.16227766016836e+002	(5.99998344755463e+001dB,1.79999561027506e+002°)
3.23593656929626e+002	(5.99998344755216e+001dB,1.79999550820446e+002°)
3.31131121482589e+002	(5.99998344755055e+001dB,1.79999540375229e+002°)
3.38844156139200e+002	(5.99998344755026e+001dB,1.79999529686316e+002°)
3.46736850452529e+002	(5.99998344755107e+001dB,1.79999518748040e+002°)
3.54813389233573e+002	(5.99998344755272e+001dB,1.79999507554601e+002°)
3.63078054770099e+002	(5.99998344755580e+001dB,1.79999496100064e+002°)
3.71535229097170e+002	(5.99998344755984e+001dB,1.79999484378355e+002°)
3.80189396320558e+002	(5.99998344756494e+001dB,1.79999472383260e+002°)
3.89045144994278e+002	(5.99998344757129e+001dB,1.79999460108417e+002°)
3.98107170553494e+002	(5.99998344757877e+001dB,1.79999447547319e+002°)
4.07380277804110e+002	(5.99998344758755e+001dB,1.79999434693306e+002°)
4.16869383470332e+002	(5.99998344759727e+001dB,1.79999421539561e+002°)
4.26579518801589e+002	(5.99998344760844e+001dB,1.79999408079111e+002°)
4.36515832240163e+002	(5.99998344762063e+001dB,1.79999394304818e+002°)
4.46683592150960e+002	(5.99998344763404e+001dB,1.79999380209379e+002°)
4.57088189614872e+002	(5.99998344764882e+001dB,1.79999365785320e+002°)
4.67735141287195e+002	(5.99998344766501e+001dB,1.79999351024994e+002°)
4.78630092322635e+002	(5.99998344768261e+001dB,1.79999335920574e+002°)
4.89778819368443e+002	(5.99998344770140e+001dB,1.79999320464051e+002°)
5.01187233627268e+002	(5.99998344772159e+001dB,1.79999304647231e+002°)
5.12861383991361e+002	(5.99998344774333e+001dB,1.79999288461726e+002°)
5.24807460249769e+002	(5.99998344776666e+001dB,1.79999271898955e+002°)
5.37031796370249e+002	(5.99998344779157e+001dB,1.79999254950137e+002°)
5.49540873857620e+002	(5.99998344781791e+001dB,1.79999237606283e+002°)
5.62341325190345e+002	(5.99998344784596e+001dB,1.79999219858200e+002°)
5.75439937337152e+002	(5.99998344787590e+001dB,1.79999201696476e+002°)
5.88843655355584e+002	(5.99998344790758e+001dB,1.79999183111481e+002°)
6.02559586074353e+002	(5.99998344794113e+001dB,1.79999164093362e+002°)
6.16595001861477e+002	(5.99998344797657e+001dB,1.79999144632034e+002°)
6.30957344480188e+002	(5.99998344801398e+001dB,1.79999124717180e+002°)
6.45654229034650e+002	(5.99998344805349e+001dB,1.79999104338239e+002°)
6.60693448007591e+002	(5.99998344809528e+001dB,1.79999083484408e+002°)
6.76082975391976e+002	(5.99998344813928e+001dB,1.79999062144628e+002°)
6.91830970918931e+002	(5.99998344818563e+001dB,1.79999040307585e+002°)
7.07945784384132e+002	(5.99998344823448e+001dB,1.79999017961701e+002°)
7.24435960074984e+002	(5.99998344828577e+001dB,1.79998995095127e+002°)
7.41310241300911e+002	(5.99998344833978e+001dB,1.79998971695740e+002°)
7.58577575029177e+002	(5.99998344839656e+001dB,1.79998947751133e+002°)
7.76247116628685e+002	(5.99998344845642e+001dB,1.79998923248610e+002°)
7.94328234724275e+002	(5.99998344851901e+001dB,1.79998898175179e+002°)
8.12830516164092e+002	(5.99998344858490e+001dB,1.79998872517546e+002°)
8.31763771102664e+002	(5.99998344865425e+001dB,1.79998846262107e+002°)
8.51138038202369e+002	(5.99998344872691e+001dB,1.79998819394941e+002°)
8.70963589956073e+002	(5.99998344880309e+001dB,1.79998791901803e+002°)
8.91250938133738e+002	(5.99998344888325e+001dB,1.79998763768116e+002°)
9.12010839355902e+002	(5.99998344896704e+001dB,1.79998734978962e+002°)
9.33254300796983e+002	(5.99998344905520e+001dB,1.79998705519077e+002°)
9.54992586021428e+002	(5.99998344914749e+001dB,1.79998675372842e+002°)
9.77237220955802e+002	(5.99998344924453e+001dB,1.79998644524271e+002°)
9.99999999999991e+002	(5.99998344934606e+001dB,1.79998612957010e+002°)
1.02329299228075e+003	(5.99998344945252e+001dB,1.79998580654319e+002°)
1.04712854805089e+003	(5.99998344956412e+001dB,1.79998547599073e+002°)
1.07151930523760e+003	(5.99998344968122e+001dB,1.79998513773745e+002°)
1.09647819614318e+003	(5.99998344980376e+001dB,1.79998479160400e+002°)
1.12201845430195e+003	(5.99998344993221e+001dB,1.79998443740686e+002°)
1.14815362149687e+003	(5.99998345006687e+001dB,1.79998407495822e+002°)
1.17489755493952e+003	(5.99998345020814e+001dB,1.79998370406591e+002°)
1.20226443461740e+003	(5.99998345035589e+001dB,1.79998332453328e+002°)
1.23026877081237e+003	(5.99998345051085e+001dB,1.79998293615910e+002°)
1.25892541179416e+003	(5.99998345067323e+001dB,1.79998253873744e+002°)
1.28824955169312e+003	(5.99998345084317e+001dB,1.79998213205759e+002°)
1.31825673855640e+003	(5.99998345102137e+001dB,1.79998171590391e+002°)
1.34896288259164e+003	(5.99998345120793e+001dB,1.79998129005577e+002°)
1.38038426460287e+003	(5.99998345140330e+001dB,1.79998085428736e+002°)
1.41253754462274e+003	(5.99998345160820e+001dB,1.79998040836764e+002°)
1.44543977074591e+003	(5.99998345182260e+001dB,1.79997995206017e+002°)
1.47910838816819e+003	(5.99998345204723e+001dB,1.79997948512301e+002°)
1.51356124843619e+003	(5.99998345228249e+001dB,1.79997900730860e+002°)
1.54881661891247e+003	(5.99998345252905e+001dB,1.79997851836357e+002°)
1.58489319246110e+003	(5.99998345278705e+001dB,1.79997801802870e+002°)
1.62181009735891e+003	(5.99998345305745e+001dB,1.79997750603868e+002°)
1.65958690743754e+003	(5.99998345334058e+001dB,1.79997698212207e+002°)
1.69824365246173e+003	(5.99998345363690e+001dB,1.79997644600107e+002°)
1.73780082874936e+003	(5.99998345394741e+001dB,1.79997589739142e+002°)
1.77827941003891e+003	(5.99998345427264e+001dB,1.79997533600224e+002°)
1.81970085860997e+003	(5.99998345461319e+001dB,1.79997476153587e+002°)
1.86208713666285e+003	(5.99998345496981e+001dB,1.79997417368774e+002°)
1.90546071796323e+003	(5.99998345534326e+001dB,1.79997357214614e+002°)
1.94984459975803e+003	(5.99998345573459e+001dB,1.79997295659213e+002°)
1.99526231496886e+003	(5.99998345614407e+001dB,1.79997232669934e+002°)
2.04173794466951e+003	(5.99998345657302e+001dB,1.79997168213380e+002°)
2.08929613085402e+003	(5.99998345702210e+001dB,1.79997102255373e+002°)
2.13796208950221e+003	(5.99998345749252e+001dB,1.79997034760943e+002°)
2.18776162394953e+003	(5.99998345798515e+001dB,1.79996965694303e+002°)
2.23872113856832e+003	(5.99998345850093e+001dB,1.79996895018832e+002°)
2.29086765276775e+003	(5.99998345904102e+001dB,1.79996822697058e+002°)
2.34422881531990e+003	(5.99998345960671e+001dB,1.79996748690634e+002°)
2.39883291901947e+003	(5.99998346019906e+001dB,1.79996672960322e+002°)
2.45470891568501e+003	(5.99998346081927e+001dB,1.79996595465967e+002°)
2.51188643150955e+003	(5.99998346146875e+001dB,1.79996516166481e+002°)
2.57039578276884e+003	(5.99998346214883e+001dB,1.79996435019819e+002°)
2.63026799189535e+003	(5.99998346286090e+001dB,1.79996351982956e+002°)
2.69153480392689e+003	(5.99998346360666e+001dB,1.79996267011862e+002°)
2.75422870333814e+003	(5.99998346438780e+001dB,1.79996180061487e+002°)
2.81838293126442e+003	(5.99998346520539e+001dB,1.79996091085728e+002°)
2.88403150312658e+003	(5.99998346606174e+001dB,1.79996000037407e+002°)
2.95120922666635e+003	(5.99998346695848e+001dB,1.79995906868251e+002°)
3.01995172040198e+003	(5.99998346789755e+001dB,1.79995811528858e+002°)
3.09029543251356e+003	(5.99998346888062e+001dB,1.79995713968680e+002°)
3.16227766016835e+003	(5.99998346991031e+001dB,1.79995614135987e+002°)
3.23593656929625e+003	(5.99998347098836e+001dB,1.79995511977847e+002°)
3.31131121482588e+003	(5.99998347211724e+001dB,1.79995407440094e+002°)
3.38844156139199e+003	(5.99998347329939e+001dB,1.79995300467301e+002°)
3.46736850452528e+003	(5.99998347453723e+001dB,1.79995191002748e+002°)
3.54813389233572e+003	(5.99998347583365e+001dB,1.79995078988397e+002°)
3.63078054770097e+003	(5.99998347719092e+001dB,1.79994964364854e+002°)
3.71535229097168e+003	(5.99998347861231e+001dB,1.79994847071345e+002°)
3.80189396320557e+003	(5.99998348010059e+001dB,1.79994727045679e+002°)
3.89045144994276e+003	(5.99998348165895e+001dB,1.79994604224216e+002°)
3.98107170553493e+003	(5.99998348329104e+001dB,1.79994478541834e+002°)
4.07380277804108e+003	(5.99998348499976e+001dB,1.79994349931893e+002°)
4.16869383470331e+003	(5.99998348678901e+001dB,1.79994218326204e+002°)
4.26579518801588e+003	(5.99998348866273e+001dB,1.79994083654986e+002°)
4.36515832240161e+003	(5.99998349062480e+001dB,1.79993945846833e+002°)
4.46683592150958e+003	(5.99998349267940e+001dB,1.79993804828679e+002°)
4.57088189614870e+003	(5.99998349483064e+001dB,1.79993660525751e+002°)
